"CODE","NAME","CASES","DEATHS","AVERAGETEMP","DAY"
"EG","Egypt","59","1","23","20200309 21:00:00.000 -0300"
"EG","Egypt","60","1","27","20200310 21:00:00.000 -0300"
"EG","Egypt","67","1","27","20200311 21:00:00.000 -0300"
"EG","Egypt","80","2","16","20200312 21:00:00.000 -0300"
"EG","Egypt","109","2","21","20200313 21:00:00.000 -0300"
"EG","Egypt","110","2","23","20200314 21:00:00.000 -0300"
"EG","Egypt","150","2","25","20200315 21:00:00.000 -0300"
"EG","Egypt","196","4","21","20200316 21:00:00.000 -0300"
"EG","Egypt","196","6","17","20200317 21:00:00.000 -0300"
"EG","Egypt","256","6","18","20200318 21:00:00.000 -0300"
"EG","Egypt","285","8","17","20200319 21:00:00.000 -0300"
"EG","Egypt","9400","525","27","20200509 21:00:00.000 -0300"
"EG","Egypt","9746","533","31","20200510 21:00:00.000 -0300"
"EG","Egypt","10093","544","35","20200511 21:00:00.000 -0300"
"EG","Egypt","10431","556","35","20200512 21:00:00.000 -0300"
"EG","Egypt","10829","571","37","20200513 21:00:00.000 -0300"
"EG","Egypt","11228","592","36","20200514 21:00:00.000 -0300"
"EG","Egypt","11719","612","37","20200515 21:00:00.000 -0300"
"EG","Egypt","12229","630","35","20200516 21:00:00.000 -0300"
"EG","Egypt","12764","645","38","20200517 21:00:00.000 -0300"
"EG","Egypt","13484","659","40","20200518 21:00:00.000 -0300"
"EG","Egypt","14229","680","40","20200519 21:00:00.000 -0300"
"EG","Egypt","80235","3702","34","20200709 21:00:00.000 -0300"
"EG","Egypt","81158","3769","35","20200710 21:00:00.000 -0300"
"EG","Egypt","82070","3858","35","20200711 21:00:00.000 -0300"
"EG","Egypt","83001","3935","34","20200712 21:00:00.000 -0300"
"EG","Egypt","83930","4008","35","20200713 21:00:00.000 -0300"
"EG","Egypt","84843","4067","37","20200714 21:00:00.000 -0300"
"EG","Egypt","85771","4120","33","20200715 21:00:00.000 -0300"
"EG","Egypt","86474","4188","32","20200716 21:00:00.000 -0300"
"EG","Egypt","87172","4251","34","20200717 21:00:00.000 -0300"
"EG","Egypt","87775","4302","35","20200718 21:00:00.000 -0300"
"EG","Egypt","88402","4352","37","20200719 21:00:00.000 -0300"
"EG","Egypt","100557","5590","33","20200909 21:00:00.000 -0300"
"EG","Egypt","100708","5607","36","20200910 21:00:00.000 -0300"
"EG","Egypt","100856","5627","36","20200911 21:00:00.000 -0300"
"EG","Egypt","101009","5648","35","20200912 21:00:00.000 -0300"
"EG","Egypt","101177","5661","35","20200913 21:00:00.000 -0300"
"EG","Egypt","101340","5679","33","20200914 21:00:00.000 -0300"
"EG","Egypt","101500","5696","33","20200915 21:00:00.000 -0300"
"EG","Egypt","101641","5715","35","20200916 21:00:00.000 -0300"
"EG","Egypt","101772","5733","37","20200917 21:00:00.000 -0300"
"EG","Egypt","101900","5750","37","20200918 21:00:00.000 -0300"
"EG","Egypt","102015","5770","36","20200919 21:00:00.000 -0300"
"EG","Egypt","109654","6394","22","20201109 21:00:00.000 -0300"
"EG","Egypt","109881","6405","22","20201110 21:00:00.000 -0300"
"EG","Egypt","110095","6417","22","20201111 21:00:00.000 -0300"
"EG","Egypt","110319","6429","23","20201112 21:00:00.000 -0300"
"EG","Egypt","110547","6442","22","20201113 21:00:00.000 -0300"
"EG","Egypt","110767","6453","21","20201114 21:00:00.000 -0300"
"EG","Egypt","111009","6465","20","20201115 21:00:00.000 -0300"
"EG","Egypt","111284","6481","21","20201116 21:00:00.000 -0300"
"EG","Egypt","111613","6495","21","20201117 21:00:00.000 -0300"
"EG","Egypt","111955","6508","20","20201118 21:00:00.000 -0300"
"EG","Egypt","112318","6521","19","20201119 21:00:00.000 -0300"
"SN","Senegal","4","0","33","20200309 21:00:00.000 -0300"
"SN","Senegal","4","0","33","20200310 21:00:00.000 -0300"
"SN","Senegal","4","0","34","20200311 21:00:00.000 -0300"
"SN","Senegal","10","0","34","20200312 21:00:00.000 -0300"
"SN","Senegal","10","0","33","20200313 21:00:00.000 -0300"
"SN","Senegal","24","0","32","20200314 21:00:00.000 -0300"
"SN","Senegal","24","0","33","20200315 21:00:00.000 -0300"
"SN","Senegal","26","0","32","20200316 21:00:00.000 -0300"
"SN","Senegal","31","0","32","20200317 21:00:00.000 -0300"
"SN","Senegal","31","0","32","20200318 21:00:00.000 -0300"
"SN","Senegal","38","0","34","20200319 21:00:00.000 -0300"
"SN","Senegal","1709","19","33","20200509 21:00:00.000 -0300"
"SN","Senegal","1886","19","33","20200510 21:00:00.000 -0300"
"SN","Senegal","1995","19","33","20200511 21:00:00.000 -0300"
"SN","Senegal","2105","21","35","20200512 21:00:00.000 -0300"
"SN","Senegal","2189","23","35","20200513 21:00:00.000 -0300"
"SN","Senegal","2310","25","36","20200514 21:00:00.000 -0300"
"SN","Senegal","2429","25","37","20200515 21:00:00.000 -0300"
"SN","Senegal","2480","25","35","20200516 21:00:00.000 -0300"
"SN","Senegal","2544","26","35","20200517 21:00:00.000 -0300"
"SN","Senegal","2617","30","34","20200518 21:00:00.000 -0300"
"SN","Senegal","2714","30","35","20200519 21:00:00.000 -0300"
"SN","Senegal","7882","145","32","20200709 21:00:00.000 -0300"
"SN","Senegal","8014","145","28","20200710 21:00:00.000 -0300"
"SN","Senegal","8135","148","26","20200711 21:00:00.000 -0300"
"SN","Senegal","8198","150","30","20200712 21:00:00.000 -0300"
"SN","Senegal","8243","150","26","20200713 21:00:00.000 -0300"
"SN","Senegal","8369","153","30","20200714 21:00:00.000 -0300"
"SN","Senegal","8481","156","29","20200715 21:00:00.000 -0300"
"SN","Senegal","8544","160","24","20200716 21:00:00.000 -0300"
"SN","Senegal","8669","163","28","20200717 21:00:00.000 -0300"
"SN","Senegal","8810","167","28","20200718 21:00:00.000 -0300"
"SN","Senegal","8948","170","24","20200719 21:00:00.000 -0300"
"SN","Senegal","14150","293","28","20200909 21:00:00.000 -0300"
"SN","Senegal","14193","293","28","20200910 21:00:00.000 -0300"
"SN","Senegal","14237","295","24","20200911 21:00:00.000 -0300"
"SN","Senegal","14280","297","25","20200912 21:00:00.000 -0300"
"SN","Senegal","14306","297","30","20200913 21:00:00.000 -0300"
"SN","Senegal","14529","298","30","20200914 21:00:00.000 -0300"
"SN","Senegal","14568","299","28","20200915 21:00:00.000 -0300"
"SN","Senegal","14618","300","27","20200916 21:00:00.000 -0300"
"SN","Senegal","14645","301","25","20200917 21:00:00.000 -0300"
"SN","Senegal","14688","302","25","20200918 21:00:00.000 -0300"
"SN","Senegal","14714","302","28","20200919 21:00:00.000 -0300"
"SN","Senegal","15720","326","32","20201109 21:00:00.000 -0300"
"SN","Senegal","15735","326","32","20201110 21:00:00.000 -0300"
"SN","Senegal","15744","326","33","20201111 21:00:00.000 -0300"
"SN","Senegal","15755","326","32","20201112 21:00:00.000 -0300"
"SN","Senegal","15779","327","32","20201113 21:00:00.000 -0300"
"SN","Senegal","15793","328","31","20201114 21:00:00.000 -0300"
"SN","Senegal","15801","329","32","20201115 21:00:00.000 -0300"
"SN","Senegal","15806","329","32","20201116 21:00:00.000 -0300"
"SN","Senegal","15823","329","33","20201117 21:00:00.000 -0300"
"SN","Senegal","15835","329","31","20201118 21:00:00.000 -0300"
