Codigo, Nome, Confirmados, Mortes, Recuperados, Data
EG,Egypt,0,0,0,2020-01-22T00:00:00Z
EG,Egypt,0,0,0,2020-01-23T00:00:00Z
EG,Egypt,0,0,0,2020-01-24T00:00:00Z
EG,Egypt,0,0,0,2020-01-25T00:00:00Z
EG,Egypt,0,0,0,2020-01-26T00:00:00Z
EG,Egypt,0,0,0,2020-01-27T00:00:00Z
EG,Egypt,0,0,0,2020-01-28T00:00:00Z
EG,Egypt,0,0,0,2020-01-29T00:00:00Z
EG,Egypt,0,0,0,2020-01-30T00:00:00Z
EG,Egypt,0,0,0,2020-01-31T00:00:00Z
EG,Egypt,0,0,0,2020-02-01T00:00:00Z
EG,Egypt,0,0,0,2020-02-02T00:00:00Z
EG,Egypt,0,0,0,2020-02-03T00:00:00Z
EG,Egypt,0,0,0,2020-02-04T00:00:00Z
EG,Egypt,0,0,0,2020-02-05T00:00:00Z
EG,Egypt,0,0,0,2020-02-06T00:00:00Z
EG,Egypt,0,0,0,2020-02-07T00:00:00Z
EG,Egypt,0,0,0,2020-02-08T00:00:00Z
EG,Egypt,0,0,0,2020-02-09T00:00:00Z
EG,Egypt,0,0,0,2020-02-10T00:00:00Z
EG,Egypt,0,0,0,2020-02-11T00:00:00Z
EG,Egypt,0,0,0,2020-02-12T00:00:00Z
EG,Egypt,0,0,0,2020-02-13T00:00:00Z
EG,Egypt,1,0,0,2020-02-14T00:00:00Z
EG,Egypt,1,0,0,2020-02-15T00:00:00Z
EG,Egypt,1,0,0,2020-02-16T00:00:00Z
EG,Egypt,1,0,0,2020-02-17T00:00:00Z
EG,Egypt,1,0,0,2020-02-18T00:00:00Z
EG,Egypt,1,0,0,2020-02-19T00:00:00Z
EG,Egypt,1,0,0,2020-02-20T00:00:00Z
EG,Egypt,1,0,0,2020-02-21T00:00:00Z
EG,Egypt,1,0,0,2020-02-22T00:00:00Z
EG,Egypt,1,0,0,2020-02-23T00:00:00Z
EG,Egypt,1,0,0,2020-02-24T00:00:00Z
EG,Egypt,1,0,0,2020-02-25T00:00:00Z
EG,Egypt,1,0,0,2020-02-26T00:00:00Z
EG,Egypt,1,0,0,2020-02-27T00:00:00Z
EG,Egypt,1,0,1,2020-02-28T00:00:00Z
EG,Egypt,1,0,1,2020-02-29T00:00:00Z
EG,Egypt,2,0,1,2020-03-01T00:00:00Z
EG,Egypt,2,0,1,2020-03-02T00:00:00Z
EG,Egypt,2,0,1,2020-03-03T00:00:00Z
EG,Egypt,2,0,1,2020-03-04T00:00:00Z
EG,Egypt,3,0,1,2020-03-05T00:00:00Z
EG,Egypt,15,0,1,2020-03-06T00:00:00Z
EG,Egypt,15,0,1,2020-03-07T00:00:00Z
EG,Egypt,49,1,1,2020-03-08T00:00:00Z
EG,Egypt,55,1,1,2020-03-09T00:00:00Z
EG,Egypt,59,1,1,2020-03-10T00:00:00Z
EG,Egypt,60,1,27,2020-03-11T00:00:00Z
EG,Egypt,67,1,27,2020-03-12T00:00:00Z
EG,Egypt,80,2,27,2020-03-13T00:00:00Z
EG,Egypt,109,2,27,2020-03-14T00:00:00Z
EG,Egypt,110,2,21,2020-03-15T00:00:00Z
EG,Egypt,150,2,27,2020-03-16T00:00:00Z
EG,Egypt,196,4,32,2020-03-17T00:00:00Z
EG,Egypt,196,6,32,2020-03-18T00:00:00Z
EG,Egypt,256,6,32,2020-03-19T00:00:00Z
EG,Egypt,285,8,39,2020-03-20T00:00:00Z
EG,Egypt,294,10,41,2020-03-21T00:00:00Z
