"CODE","NAME","CASES","CASESVARIATION","AVERAGETEMP","DAY"
"AE","United Arab Emirates","74","0","22","20200309 21:00:00.000 -0300"
"AE","United Arab Emirates","85","0.14864864864864866","23","20200310 21:00:00.000 -0300"
"AE","United Arab Emirates","85","0","26","20200311 21:00:00.000 -0300"
"AE","United Arab Emirates","85","0","27","20200312 21:00:00.000 -0300"
"AE","United Arab Emirates","98","0.15294117647058825","29","20200313 21:00:00.000 -0300"
"AE","United Arab Emirates","98","0","27","20200314 21:00:00.000 -0300"
"AE","United Arab Emirates","98","0","28","20200315 21:00:00.000 -0300"
"AE","United Arab Emirates","113","0.15306122448979592","28","20200316 21:00:00.000 -0300"
"AE","United Arab Emirates","140","0.23893805309734514","30","20200317 21:00:00.000 -0300"
"AE","United Arab Emirates","140","0","30","20200318 21:00:00.000 -0300"
"AE","United Arab Emirates","18878","0.0373667435981976","36","20200509 21:00:00.000 -0300"
"AE","United Arab Emirates","19661","0.041476851361373024","33","20200510 21:00:00.000 -0300"
"AE","United Arab Emirates","20386","0.036875031788820505","32","20200511 21:00:00.000 -0300"
"AE","United Arab Emirates","21084","0.03423918375355636","32","20200512 21:00:00.000 -0300"
"AE","United Arab Emirates","21831","0.03542970973249858","33","20200513 21:00:00.000 -0300"
"AE","United Arab Emirates","22627","0.0364619119600568","35","20200514 21:00:00.000 -0300"
"AE","United Arab Emirates","23358","0.032306536438767845","36","20200515 21:00:00.000 -0300"
"AE","United Arab Emirates","24190","0.03561948796986043","36","20200516 21:00:00.000 -0300"
"AE","United Arab Emirates","25063","0.03608929309632079","37","20200517 21:00:00.000 -0300"
"AE","United Arab Emirates","26004","0.037545385628216896","37","20200518 21:00:00.000 -0300"
"AE","United Arab Emirates","54453","0.007456059204440333","42","20200709 21:00:00.000 -0300"
"AE","United Arab Emirates","54854","0.007364148899050557","42","20200710 21:00:00.000 -0300"
"AE","United Arab Emirates","55198","0.006271192620410544","42","20200711 21:00:00.000 -0300"
"AE","United Arab Emirates","55573","0.006793724410304721","43","20200712 21:00:00.000 -0300"
"AE","United Arab Emirates","55848","0.0049484461878970005","41","20200713 21:00:00.000 -0300"
"AE","United Arab Emirates","56129","0.005031514109726401","39","20200714 21:00:00.000 -0300"
"AE","United Arab Emirates","56422","0.005220117942596519","40","20200715 21:00:00.000 -0300"
"AE","United Arab Emirates","56711","0.005122115486866825","39","20200716 21:00:00.000 -0300"
"AE","United Arab Emirates","56922","0.003720618574879653","39","20200717 21:00:00.000 -0300"
"AE","United Arab Emirates","57193","0.004760900881908577","41","20200718 21:00:00.000 -0300"
"AE","United Arab Emirates","77842","0.012104900469373691","38","20200909 21:00:00.000 -0300"
"AE","United Arab Emirates","78849","0.012936461036458468","38","20200910 21:00:00.000 -0300"
"AE","United Arab Emirates","79489","0.008116780174764424","39","20200911 21:00:00.000 -0300"
"AE","United Arab Emirates","80266","0.009774937412723773","38","20200912 21:00:00.000 -0300"
"AE","United Arab Emirates","80940","0.008397079709964369","37","20200913 21:00:00.000 -0300"
"AE","United Arab Emirates","81782","0.010402767482085495","37","20200914 21:00:00.000 -0300"
"AE","United Arab Emirates","82568","0.009610916827663789","36","20200915 21:00:00.000 -0300"
"AE","United Arab Emirates","83433","0.010476213545199108","36","20200916 21:00:00.000 -0300"
"AE","United Arab Emirates","84242","0.00969640310189014","36","20200917 21:00:00.000 -0300"
"AE","United Arab Emirates","84916","0.008000759716056124","36","20200918 21:00:00.000 -0300"
"AE","United Arab Emirates","145599","0.008408075631125117","28","20201109 21:00:00.000 -0300"
"AE","United Arab Emirates","146735","0.007802251389089211","30","20201110 21:00:00.000 -0300"
"AE","United Arab Emirates","147961","0.008355198146318193","30","20201111 21:00:00.000 -0300"
"AE","United Arab Emirates","149135","0.007934523286541723","29","20201112 21:00:00.000 -0300"
"AE","United Arab Emirates","150345","0.008113454252858148","27","20201113 21:00:00.000 -0300"
"AE","United Arab Emirates","151554","0.008041504539559013","25","20201114 21:00:00.000 -0300"
"AE","United Arab Emirates","152809","0.00828087678319279","27","20201115 21:00:00.000 -0300"
"AE","United Arab Emirates","154101","0.00845499937830887","26","20201116 21:00:00.000 -0300"
"AE","United Arab Emirates","155254","0.00748210589159058","25","20201117 21:00:00.000 -0300"
"AE","United Arab Emirates","156523","0.008173702448890206","26","20201118 21:00:00.000 -0300"
"BN","Brunei Darussalam","11","10","29","20200309 21:00:00.000 -0300"
"BN","Brunei Darussalam","11","0","31","20200310 21:00:00.000 -0300"
"BN","Brunei Darussalam","37","2.3636363636363638","31","20200311 21:00:00.000 -0300"
"BN","Brunei Darussalam","40","0.08108108108108109","30","20200312 21:00:00.000 -0300"
"BN","Brunei Darussalam","50","0.25","29","20200313 21:00:00.000 -0300"
"BN","Brunei Darussalam","54","0.08","29","20200314 21:00:00.000 -0300"
"BN","Brunei Darussalam","56","0.037037037037037035","29","20200315 21:00:00.000 -0300"
"BN","Brunei Darussalam","68","0.21428571428571427","30","20200316 21:00:00.000 -0300"
"BN","Brunei Darussalam","75","0.10294117647058823","31","20200317 21:00:00.000 -0300"
"BN","Brunei Darussalam","78","0.04","29","20200318 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200509 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","25","20200510 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","28","20200511 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200512 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","30","20200513 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200514 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200515 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","26","20200516 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200517 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200518 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","25","20200709 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","27","20200710 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","27","20200711 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","28","20200712 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","28","20200713 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200714 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","27","20200715 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","29","20200716 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","28","20200717 21:00:00.000 -0300"
"BN","Brunei Darussalam","141","0","28","20200718 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","27","20200909 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","28","20200910 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","28","20200911 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","27","20200912 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","24","20200913 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","24","20200914 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","29","20200915 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","30","20200916 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","28","20200917 21:00:00.000 -0300"
"BN","Brunei Darussalam","145","0","30","20200918 21:00:00.000 -0300"
"BN","Brunei Darussalam","148","0","28","20201109 21:00:00.000 -0300"
"BN","Brunei Darussalam","148","0","28","20201110 21:00:00.000 -0300"
"BN","Brunei Darussalam","148","0","29","20201111 21:00:00.000 -0300"
