Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Data
Brazil,BR,,,,-14.24,-51.93,1,0,0,1,2020-02-26T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,1,0,0,1,2020-02-27T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,1,0,0,1,2020-02-28T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2,0,0,2,2020-02-29T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2,0,0,2,2020-03-01T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2,0,0,2,2020-03-02T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2,0,0,2,2020-03-03T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,4,0,0,4,2020-03-04T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,4,0,0,4,2020-03-05T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,13,0,0,13,2020-03-06T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,13,0,0,13,2020-03-07T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,20,0,0,20,2020-03-08T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,25,0,0,25,2020-03-09T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,31,0,0,31,2020-03-10T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,38,0,0,38,2020-03-11T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,52,0,0,52,2020-03-12T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,151,0,0,151,2020-03-13T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,151,0,0,151,2020-03-14T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,162,0,0,162,2020-03-15T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,200,0,1,199,2020-03-16T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,321,1,2,318,2020-03-17T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,372,3,2,367,2020-03-18T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,621,6,2,613,2020-03-19T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,793,11,2,780,2020-03-20T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,1021,15,2,1004,2020-03-21T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,1546,25,2,1519,2020-03-22T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,1924,34,2,1888,2020-03-23T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2247,46,2,2199,2020-03-24T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2554,59,2,2493,2020-03-25T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,2985,77,6,2902,2020-03-26T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,3417,92,6,3319,2020-03-27T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,3904,111,6,3787,2020-03-28T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,4256,136,6,4114,2020-03-29T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,4579,159,120,4300,2020-03-30T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,5717,201,127,5389,2020-03-31T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,6836,240,127,6469,2020-04-01T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,8044,324,127,7593,2020-04-02T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,9056,359,127,8570,2020-04-03T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,10360,445,127,9788,2020-04-04T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,11130,486,127,10517,2020-04-05T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,12161,564,127,11470,2020-04-06T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,14034,686,127,13221,2020-04-07T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,16170,819,127,15224,2020-04-08T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,18092,950,173,16969,2020-04-09T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,19638,1057,173,18408,2020-04-10T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,20727,1124,173,19430,2020-04-11T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,22192,1223,173,20796,2020-04-12T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,23430,1328,173,21929,2020-04-13T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,25262,1532,3046,20684,2020-04-14T00:00:00Z
Brazil,BR,,,,-14.24,-51.93,28320,1736,14026,12558,2020-04-15T00:00:00Z
