country,temp,pressure,humidity
KH,298.87,1011,75
IQ,293.15,1014,42
EG,297.15,1014,44
PH,300.56,1011,73
LV,282.21,1016,87
NO,274.62,1001,18
BY,280.15,1018,93
MP,300.74,1012,88
AF,258.1,1025,97
SB,295.15,1008,100
AS,297.15,1009,88
ME,288.87,1023,40
VE,302.41,1012,65
FM,297.82,1007,92
UZ,272.22,1027,91
ER,304.5,1009,54
ID,297.26,1009,88
BL,300.98,1017,78
LC,299.76,1015,78
NZ,288.32,1006,92
GR,275.18,1011,86
NC,298.13,1009,74
DM,300.7,1014,74
CF,306.96,1006,27
SN,307.08,1010,10
HN,296.15,1017,100
VI,298.5,1017,78
GG,283.15,1013,100
BA,280.15,1023,76
GF,302.19,1011,60
KP,270.02,1027,88
SO,303.8,1008,52
CG,305.18,1005,55
MH,301.59,1008,78
TD,304.51,1009,11
SZ,292.31,1015,64
CR,295.8,1018,69
PE,301.42,1014,77
BT,276.87,1021,75
YT,304.15,1010,62
KE,300.63,1008,65
GS,266.06,999,100
BM,293.15,1027,60
LB,288.35,1008,60
RE,297.41,1014,65
ES,284.91,1013,66
IE,280.93,1015,85
CK,296.15,1012,78
AR,296.71,1011,23
MD,279.53,1024,65
SC,301.15,1009,74
JO,290.1,1008,31
TH,297.62,1013,76
MQ,301,1015,70
AG,300.87,1016,74
SV,296.55,1012,74
KI,298.15,1008,78
GT,285.15,1018,100
NE,304.45,1011,14
BS,297.15,1022,60
MZ,308,1004,46
CU,297.15,1019,83
AL,287.12,1023,57
DK,279.91,1012,93
FR,288.15,1015,60
TC,299.98,1018,61
MO,296.15,1018,83
SH,289.79,1016,92
TV,301.58,1007,74
GA,298.8,1007,89
KW,295.15,1015,33
IN,296.15,1014,43
BF,306.15,1011,15
LI,281.85,1020,60
NP,284.13,1022,43
PW,299.15,1009,88
KN,301.26,1016,70
PN,296.84,1016,83
RW,291.15,1019,88
NI,296.41,1015,92
MV,301.35,1010,73
CY,291.99,1009,45
TO,297.15,1013,83
SD,307.31,1007,13
AU,301.4,1008,15
CL,293.84,1019,40
MC,286.35,1022,58
TZ,304.66,1006,25
VC,301.15,1014,74
FK,285.47,996,62
ET,298.8,1010,45
GM,308.5,1010,10
BJ,310.77,1006,16
GL,249.6,991,90
KZ,262.72,1032,97
FJ,297.15,1010,100
AT,278.15,1021,60
CM,302.01,1007,24
SE,282.34,1007,81
ZA,298.44,1012,14
TN,292.15,1021,68
MW,304.98,1006,46
CX,296.15,1011,83
GY,300.44,1012,75
RO,277.04,1021,74
BG,283.15,1026,53
IO,302.15,1009,79
VN,290.26,1015,97
TW,296.7,987,79
JP,276.64,910,89
SI,276.81,1009,72
CA,264.55,999,98
AX,282.15,1008,93
MN,260.66,1038,96
ZM,302.95,1006,46
JE,285.56,1013,93
DJ,292.45,1010,77
AM,280.15,1017,39
BR,305.76,1014,40
GU,300.86,1012,83
NR,300.57,1008,77
LK,296.3,1009,90
BD,297.15,1015,69
IL,290.37,1008,100
TT,301.41,1013,83
SJ,263.53,999,96
MM,295.37,1016,81
CW,302.15,1013,70
MX,287.68,1020,53
BQ,302.15,1013,70
NG,308.33,1006,21
UG,296.54,1010,77
BH,296.35,1016,60
PY,310.91,1008,28
KY,300.64,1016,78
FI,271.73,1009,99
ZW,304.15,1007,33
VA,288.91,1022,63
MA,293.53,1015,28
CN,272.56,853,57
AW,300.15,1013,74
DE,280.06,1021,65
TM,281.56,1022,48
OM,299.2,1013,37
MT,291.19,1021,77
SS,310.59,1003,17
LR,303.28,1009,63
RU,254.64,1040,93
PL,277.93,1021,65
EC,290.19,1017,60
WS,303.15,1009,62
KM,294.82,1010,93
IT,288.89,1021,63
PM,272.09,1030,58
LS,297.15,1019,19
SR,302.96,1011,58
CZ,274.28,1024,80
MU,299.7,1015,78
VU,293.45,1008,100
TL,295.49,1008,88
HR,286.28,1023,37
SG,299.52,1008,83
CO,289.15,1028,72
